zeile;zeit;interface;can_id;format;rtr;dlc;data;name;typ;phase;quelle;senke;ausgabe
1;1622641700.696733;can0;0X00C;STD;0;0;;RNetJsmCanConnectionTest;power;startup.power;jsm;pm;"RNetJsmCanConnectionTest; {typ=power, phase=startup.power, quelle=jsm, senke=pm, desc=JSM test CAN connection before wake; can turn JSM off if sent while on, id=0XC, mask=0X7FF, result=0XC, STD}"
2;1622641700.717310;can0;0X00E;STD;0;8;FC801ECD00000000;RNetJsmSerialHeartbeat;serial;startup.serial_auth;jsm;pm;"RNetJsmSerialHeartbeat; serial32=0xfc801ecd [desc=first four serial bytes, byte=0 width=4]; serial_tail=0x0 [desc=remaining heartbeat bytes, byte=4 width=4]; {typ=serial, phase=startup.serial_auth, quelle=jsm, senke=pm, zyklus=50ms, desc=JSM serial number heartbeat; PM must see this before profile handshaking, id=0XE, mask=0X7FF, result=0XE, STD, data=FC 80 1E CD 00 00 00 00}"
3;1622641700.717674;can0;0X7B3;STD;0;0;;RNetJsmRequestSerialExchange;config;startup.serial_auth;jsm;pm;"RNetJsmRequestSerialExchange; {typ=config, phase=startup.serial_auth, quelle=jsm, senke=pm, desc=JSM request serial number exchange, id=0X7B3, mask=0X7FF, result=0X7B3, STD}"
4;1622641700.756671;can0;0X7B3;STD;1;0;;RNetPmCommencingSerialExchangeRtr;config;startup.serial_auth;pm;modules;"RNetPmCommencingSerialExchangeRtr; RTR; {typ=config, phase=startup.serial_auth, quelle=pm, senke=modules, desc=PM commencing serial number exchange, id=0X7B3, mask=0X7FF, result=0X7B3, STD}"
5;1622641701.193425;can0;0X03C30F0F;EXT;0;7;87878787878787;RNetJsmDeviceHeartbeat;heartbeat;runtime.heartbeat;jsm;pm;"RNetJsmDeviceHeartbeat; {typ=heartbeat, phase=runtime.heartbeat, quelle=jsm, senke=pm, zyklus=100ms, desc=JSM device heartbeat; 7-byte variant observed in candump/can2RNET traces, id=0X3C30F0F, mask=0X1FFFFFFF, result=0X3C30F0F, EXT, data=87 87 87 87 87 87 87}"
6;1622641704.813689;can0;0X02000300;EXT;0;2;0000;RNetJoystickPosition (device=3);joystick;runtime.input;jsm;pm;"RNetJoystickPosition (device=3); x_axis=0 [desc=X-axis signed int8, byte=0 width=1]; y_axis=0 [desc=Y-axis signed int8, byte=1 width=1]; {typ=joystick, phase=runtime.input, quelle=jsm, senke=pm, zyklus=10ms, desc=joystick position; X/Y signed int8 -100..+100, id=0X2000300, mask=0XFFFFF0FF, result=0X2000000, EXT, data=00 00}"
